PMID,nct_id,has_results_section,has_results_section_update,New_has_results_section,has_adverse_events_section,has_adverse_events_section_update,New_has_adverse_events,primary_completion_date_type,primary_completion_date_type_update,New_primary_completion_date_type,primary_completion_date_update,results_first_post_date_update,primary_completion_date_clean_01,results_first_post_date,start_date_type,trial_start_date_clean_01,trial_start_date_update,start_date_type_update,New_trial_start_date,is_act,results_first_submit_date,results_first_submit_date_update,results_first_submit_qc_date_update,Publication_Date_Prio_Elec,Has_Protocol,Earliest_Document_Date_Protocol,Comp_vs_Up_Protocol,Comp_vs_Up_Protocol_Days,yr_1_Comp_after_Up_Protocol,Has_SAP,Earliest_Document_Date_SAP,Comp_vs_Up_SAP,Comp_vs_Up_SAP_Days,yr_1_Comp_after_Up_SAP,has_protocol_any_version_update,earliest_protocol_date_update,has_sap_any_version_update,earliest_sap_date_update,New_has_protocol,New_has_sap,Comp_vs_Up_Protocol_update,Comp_vs_Up_SAP_update,Comp_vs_Up_Protocol_Days_update,Comp_vs_Up_SAP_Days_update,has_extension_or_cert,disp_first_submit_date,disp_first_post_date
39540799,NCT03476083,FALSE,FALSE,,FALSE,FALSE,,ESTIMATED,ESTIMATED,,,,5/1/2021,1/1/3011,ACTUAL,6/10/2018,6/10/2018,ACTUAL,1,Yes,1/1/3011,,,2/4/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39453837,NCT03594110,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,7/5/2022,7/27/2023,ACTUAL,1/31/2019,1/31/2019,ACTUAL,1,Yes,6/30/2023,6/30/2023,6/30/2023,10/25/2024,Yes,3/2/2019,1,-1221,0,Yes,6/20/2022,1,-15,0,Yes,1/13/2020,Yes,7/15/2022,,,1,1,-1747,-833,FALSE,,
39657981,NCT03643939,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,11/30/2023,1/1/3011,ACTUAL,11/1/2019,11/1/2019,ACTUAL,1,No,1/1/3011,,,3/11/2025,No,,3,,,Yes,3/13/2023,1,-262,0,No,,Yes,3/13/2023,,,3,1,,-729,FALSE,,
39910273,NCT03652064,FALSE,TRUE,1,FALSE,TRUE,1,ACTUAL,ACTUAL,,5/7/2024,4/8/2026,5/7/2024,1/1/3011,ACTUAL,11/6/2018,11/6/2018,ACTUAL,1,Yes,1/1/3011,3/19/2026,3/19/2026,2/5/2025,No,,3,,,No,,3,,,Yes,3/14/2024,Yes,5/28/2021,1,1,1,1,-328,-1349,TRUE,5/6/2025,4/3/2025
40162636,NCT03692065,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,9/6/2024,1/1/3011,ACTUAL,10/11/2018,10/11/2018,ACTUAL,1,No,1/1/3011,,,3/29/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39838117,NCT03725059,FALSE,FALSE,,FALSE,FALSE,,ESTIMATED,ESTIMATED,,,,1/24/2031,1/1/3011,ACTUAL,12/27/2018,12/27/2018,ACTUAL,1,Yes,1/1/3011,,,1/21/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40174237,NCT03725202,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,2/6/2024,3/7/2025,ACTUAL,2/6/2019,1/24/2019,ACTUAL,1,Yes,1/30/2025,1/30/2025,2/25/2025,4/2/2025,Yes,5/31/2023,1,-251,0,Yes,2/14/2024,2,8,0,Yes,5/31/2023,Yes,2/14/2024,,,1,1,-672,-413,FALSE,,
40412428,NCT03734640,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,12/1/2024,1/1/3011,ACTUAL,4/28/2021,4/28/2021,ACTUAL,1,No,1/1/3011,,,5/21/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40412426,NCT03735667,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,6/14/2024,4/27/2025,ACTUAL,6/10/2019,6/10/2019,ACTUAL,1,Yes,2/24/2025,2/24/2025,4/9/2025,5/21/2025,Yes,1/20/2023,1,-511,0,Yes,9/15/2023,1,-273,0,Yes,1/20/2023,Yes,9/15/2023,,,1,1,-852,-614,FALSE,,
39878993,NCT03773757,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,1/7/2023,5/16/2024,ACTUAL,3/14/2019,3/14/2019,ACTUAL,1,No,5/6/2024,1/1/2024,5/6/2024,3/18/2025,Yes,4/10/2020,1,-1002,0,Yes,4/10/2020,1,-1002,0,Yes,4/10/2020,Yes,4/10/2020,,,1,1,-1803,-1803,FALSE,,
39798579,NCT03778957,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,9/11/2023,1/1/3011,ACTUAL,11/30/2018,11/30/2018,ACTUAL,1,Yes,1/1/3011,,,1/8/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,TRUE,8/27/2024,8/9/2024
40055520,NCT03779048,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,5/25/2022,3/11/2025,ACTUAL,7/15/2019,7/15/2019,ACTUAL,1,Yes,5/9/2023,5/9/2023,2/20/2025,3/7/2025,Yes,5/5/2021,1,-385,0,Yes,5/5/2021,1,-385,0,Yes,5/5/2021,Yes,5/5/2021,,,1,1,-1402,-1402,FALSE,,
39908052,NCT03780673,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,12/1/2022,1/1/3011,ACTUAL,1/3/2019,1/3/2019,ACTUAL,1,No,1/1/3011,,,3/11/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39878968,NCT03786471,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,8/21/2023,1/30/2025,ACTUAL,6/28/2019,6/28/2019,ACTUAL,1,No,1/7/2025,12/4/2024,1/7/2025,3/18/2025,Yes,7/1/2024,2,315,0,Yes,4/9/2024,2,232,0,Yes,7/1/2024,Yes,4/9/2024,,,1,1,-260,-343,FALSE,,
39555822,NCT03795298,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,7/24/2024,9/18/2025,ACTUAL,5/20/2019,5/20/2019,ACTUAL,1,Yes,7/16/2025,7/16/2025,9/16/2025,11/16/2024,Yes,1/19/2022,1,-917,0,Yes,1/12/2024,1,-194,0,Yes,1/19/2022,Yes,1/12/2024,,,1,1,-1032,-309,FALSE,,
39992668,NCT03802591,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,7/9/2023,1/1/3011,ACTUAL,3/28/2019,3/28/2019,ACTUAL,1,No,1/1/3011,,,4/15/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39555827,NCT03808311,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,5/31/2024,1/1/3011,ACTUAL,2/24/2019,2/24/2019,ACTUAL,1,No,1/1/3011,,,11/16/2024,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39863370,NCT03816397,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,1/23/2025,3/26/2025,ACTUAL,3/15/2020,3/15/2020,ACTUAL,1,Yes,2/5/2025,2/5/2025,3/24/2025,1/25/2025,Yes,2/14/2024,1,-344,0,Yes,2/14/2024,1,-344,0,Yes,2/14/2024,Yes,2/14/2024,,,1,1,-346,-346,FALSE,,
39920395,NCT03835923,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,12/16/2020,1/1/3011,ACTUAL,2/12/2019,2/12/2019,ACTUAL,1,No,1/1/3011,,,2/7/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40175738,NCT03911687,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,10/31/2022,5/9/2025,ACTUAL,7/21/2020,7/21/2020,ACTUAL,1,No,4/23/2025,4/4/2025,4/23/2025,4/2/2025,Yes,11/11/2016,1,-2180,0,Yes,11/11/2016,1,-2180,0,Yes,11/11/2016,Yes,11/11/2016,,,1,1,-3064,-3064,FALSE,,
40162642,NCT03914326,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,6/29/2024,9/22/2025,ACTUAL,6/17/2019,6/17/2019,ACTUAL,1,Yes,8/10/2025,8/10/2025,9/19/2025,3/29/2025,Yes,1/26/2021,1,-1250,0,Yes,12/14/2022,1,-563,0,Yes,1/26/2021,Yes,12/14/2022,,,1,1,-1523,-836,FALSE,,
40044930,NCT03914612,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,12/16/2022,3/18/2025,ACTUAL,8/22/2019,8/22/2019,ACTUAL,1,Yes,1/9/2024,1/9/2024,2/26/2025,3/5/2025,Yes,2/24/2023,2,70,0,Yes,2/24/2023,2,70,0,Yes,2/24/2023,Yes,2/24/2023,,,1,1,-740,-740,FALSE,,
40163863,NCT03925883,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,6/5/2023,1/1/3011,ACTUAL,7/29/2019,7/29/2019,ACTUAL,1,No,1/1/3011,,,4/1/2025,Yes,12/4/2022,1,-183,0,Yes,2/15/2024,2,255,0,Yes,12/4/2022,Yes,2/15/2024,,,1,1,-849,-411,FALSE,,
40267424,NCT03969212,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,5/10/2024,4/24/2025,ACTUAL,10/10/2019,10/10/2019,ACTUAL,1,Yes,2/21/2025,2/21/2025,4/7/2025,4/24/2025,Yes,3/29/2022,1,-773,0,Yes,8/6/2024,2,88,0,Yes,3/29/2022,Yes,8/6/2024,,,1,1,-1122,-261,FALSE,,
39621340,NCT03973931,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,5/25/2023,4/2/2025,ACTUAL,7/1/2019,7/1/2019,ACTUAL,1,No,3/13/2025,12/6/2024,3/13/2025,1/7/2025,Yes,5/23/2023,1,-2,0,Yes,5/23/2023,1,-2,0,Yes,5/23/2023,Yes,5/23/2023,,,1,1,-595,-595,FALSE,,
39363100,NCT03980223,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,6/12/2023,7/12/2024,ACTUAL,11/26/2019,11/26/2019,ACTUAL,1,Yes,5/1/2024,5/1/2024,6/18/2024,10/3/2024,Yes,5/27/2022,1,-381,0,Yes,2/23/2021,1,-839,0,Yes,5/27/2022,Yes,2/23/2021,,,1,1,-860,-1318,FALSE,,
40023176,NCT03996772,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,5/31/2024,1/1/3011,ACTUAL,6/3/2019,6/3/2019,ACTUAL,1,No,1/1/3011,,,2/26/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39874977,NCT04008030,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,8/28/2024,9/22/2025,ACTUAL,8/5/2019,8/5/2019,ACTUAL,1,Yes,8/29/2025,8/29/2025,8/29/2025,1/25/2025,Yes,7/1/2024,1,-58,0,Yes,7/1/2024,1,-58,0,Yes,7/1/2024,Yes,7/1/2024,,,1,1,-208,-208,FALSE,,
40245902,NCT04010539,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,10/10/2023,5/30/2024,ACTUAL,10/21/2019,10/21/2019,ACTUAL,1,Yes,5/1/2024,5/1/2024,5/1/2024,4/14/2025,Yes,8/10/2023,1,-61,0,Yes,10/13/2023,2,3,0,Yes,8/10/2023,Yes,10/13/2023,,,1,1,-613,-549,FALSE,,
39706209,NCT04033445,TRUE,TRUE,,TRUE,TRUE,,ACTUAL,ACTUAL,,,,9/19/2023,11/18/2024,ACTUAL,9/26/2019,9/26/2019,ACTUAL,1,Yes,9/18/2024,9/18/2024,10/25/2024,12/17/2024,Yes,9/12/2022,1,-372,0,Yes,9/8/2023,1,-11,0,Yes,9/12/2022,Yes,9/8/2023,,,1,1,-827,-466,FALSE,,
40349714,NCT04039607,FALSE,FALSE,,FALSE,FALSE,,ESTIMATED,ESTIMATED,,,,9/30/2026,1/1/3011,ACTUAL,9/30/2019,9/30/2019,ACTUAL,1,Yes,1/1/3011,,,5/8/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39970397,NCT04059471,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,3/30/2020,1/1/3011,ACTUAL,11/11/2019,11/11/2019,ACTUAL,1,No,1/1/3011,,,2/20/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
39658862,NCT04078594,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,8/30/2021,1/1/3011,ACTUAL,10/1/2019,10/1/2019,ACTUAL,1,No,1/1/3011,,,3/4/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
40412427,NCT04097366,FALSE,FALSE,,FALSE,FALSE,,ACTUAL,ACTUAL,,,,9/30/2024,1/1/3011,ACTUAL,5/28/2019,5/28/2019,ACTUAL,1,No,1/1/3011,,,5/21/2025,No,,3,,,No,,3,,,No,,No,,,,3,3,,,FALSE,,
