PMID,Title,journal_book,nct_id,publication_url,sponsor_name,is_act,is_pact,trial_start_date,trial_start_date_clean_01,trial_start_date_clean_mid,start_date_type,primary_completion_date,primary_completion_date_clean_01,primary_completion_date_clean_mid,primary_completion_date_type,first_registration_date,first_registration_date_clean_01,first_registration_date_clean_mid,first_submitted_date,secondary_ids,lead_sponsor_name,lead_sponsor_class,funder_type,collaborator_names,all_sponsors,is_nih_funded,is_randomized,allocation,intervention_model,study_type,has_results_section,results_first_post_date,results_first_submit_date,has_adverse_events_section,Has_Protocol,Earliest_Document_Date_Protocol,Has_SAP,Earliest_Document_Date_SAP,Electronic_Publication_Date,Print_Publication_Date,Publication_Date_Prio_Print,Publication_Date_Prio_Elec,funder_sponsor
40097663,Molecular residual disease analysis of adjuvant osimertinib in resected EGFR-mutated stage IB-IIIA non-small-cell lung cancer,Nat Med,NCT02511106,https://clinicaltrials.gov/study/NCT02511106,AstraZeneca,Yes,TRUE,10/21/2015,10/21/2015,10/21/2015,ACTUAL,4/11/2022,4/11/2022,4/11/2022,ACTUAL,7/28/2015,7/28/2015,7/28/2015,7/28/2015,"2023-506524-82-00 (REGISTRY, CTIS); 2015-000662-65 (EUDRACT_NUMBER)",AstraZeneca,INDUSTRY,INDUSTRY,,AstraZeneca,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,TRUE,7/27/2021,7/6/2021,TRUE,Yes,8/9/2023,Yes,6/23/2020,3/17/2025,6/1/2025,6/1/2025,3/17/2025,INDUSTRY
40312587,Infant mental health services for birth and foster families of maltreated pre-school children in foster care (BeST(?)): a cluster-randomized phase 3 clinical effectiveness trial,Nat Med,NCT02653716,,,No,,8/29/2017,8/29/2017,8/29/2017,ACTUAL,12/8/2023,12/8/2023,12/8/2023,ACTUAL,1/11/2016,1/11/2016,1/11/2016,12/23/2015,,Helen Minnis,OTHER,OTHER,"University of Glasgow; National Institute for Health Research, United Kingdom; King's College London; Glasgow City Council Social Work; National Society for the Prevention of Cruelty to Children; NHS Greater Glasgow and Clyde; University of Aberdeen","Helen Minnis; University of Glasgow; National Institute for Health Research, United Kingdom; King's College London; Glasgow City Council Social Work; National Society for the Prevention of Cruelty to Children; NHS Greater Glasgow and Clyde; University of Aberdeen",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,5/1/2025,5/1/2025,5/1/2025,5/1/2025,OTHER
39826968,"Appendicectomy versus antibiotics for acute uncomplicated appendicitis in children: an open-label, international, multicentre, randomised, non-inferiority trial",Lancet,NCT02687464,,,No,,1/20/2016,1/20/2016,1/20/2016,,3/2/2023,3/2/2023,3/2/2023,ACTUAL,2/16/2016,2/16/2016,2/16/2016,1/13/2016,,Children's Mercy Hospital Kansas City,OTHER,OTHER,"Provincial Health Services Authority; Alberta Children's Hospital; Children's Hospital of Western Ontario; St. Justine's Hospital; Children's Hospital of Winnipeg; Le Bonheur Children's Hospital; Karolinska University Hospital; Hospital for Children and Adolescents, Finland; University of Southampton; UCL Institute of Child Health; KK Women's and Children's Hospital; Uppsala University Children's Hospital","Children's Mercy Hospital Kansas City; Provincial Health Services Authority; Alberta Children's Hospital; Children's Hospital of Western Ontario; St. Justine's Hospital; Children's Hospital of Winnipeg; Le Bonheur Children's Hospital; Karolinska University Hospital; Hospital for Children and Adolescents, Finland; University of Southampton; UCL Institute of Child Health; KK Women's and Children's Hospital; Uppsala University Children's Hospital",Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,,1/18/2025,1/18/2025,1/18/2025,NIH
39879593,"Oral Regimens for Rifampin-Resistant, Fluoroquinolone-Susceptible Tuberculosis",N Engl J Med,NCT02754765,,,No,,2016-12,12/1/2016,12/16/2016,ACTUAL,2023-06,6/1/2023,6/15/2023,ACTUAL,4/25/2016,4/25/2016,4/25/2016,4/25/2016,,"Médecins Sans Frontières, France",OTHER,OTHER,"Partners in Health; Harvard Medical School (HMS and HSDM); Epicentre; Institute of Tropical Medicine, Belgium; Socios En Salud, Peru; Interactive Research and Development","Médecins Sans Frontières, France; Partners in Health; Harvard Medical School (HMS and HSDM); Epicentre; Institute of Tropical Medicine, Belgium; Socios En Salud, Peru; Interactive Research and Development",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,,1/30/2025,1/30/2025,1/30/2025,OTHER
39555820,Catheter Ablation or Antiarrhythmic Drugs for Ventricular Tachycardia,N Engl J Med,NCT02830360,,,No,,2016-10,10/1/2016,10/16/2016,ACTUAL,6/6/2024,6/6/2024,6/6/2024,ACTUAL,7/11/2016,7/11/2016,7/11/2016,7/7/2016,,John Sapp,OTHER,OTHER,"Heart and Stroke Foundation of Canada; Abbott Medical Devices; Biosense Webster, Inc.; Ottawa Heart Institute Research Corporation; Canadian Institutes of Health Research (CIHR); Cardiac Arrhythmia Network of Canada; Abbott; Nova Scotia Health Authority","John Sapp; Heart and Stroke Foundation of Canada; Abbott Medical Devices; Biosense Webster, Inc.; Ottawa Heart Institute Research Corporation; Canadian Institutes of Health Research (CIHR); Cardiac Arrhythmia Network of Canada; Abbott; Nova Scotia Health Authority",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,11/16/2024,2/20/2025,2/20/2025,11/16/2024,OTHER
40055521,Nivolumab plus chemotherapy or ipilimumab in gastroesophageal cancer: exploratory biomarker analyses of a randomized phase 3 trial,Nat Med,NCT02872116,https://clinicaltrials.gov/study/NCT02872116,Bristol-Myers Squibb,Yes,TRUE,10/12/2016,10/12/2016,10/12/2016,ACTUAL,5/27/2020,5/27/2020,5/27/2020,ACTUAL,8/18/2016,8/18/2016,8/18/2016,8/16/2016,2016-001018-76 (EUDRACT_NUMBER),Bristol-Myers Squibb,INDUSTRY,INDUSTRY,Ono Pharmaceutical Co. Ltd,Bristol-Myers Squibb; Ono Pharmaceutical Co. Ltd,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,TRUE,6/28/2022,6/23/2022,TRUE,Yes,9/16/2019,Yes,5/19/2021,3/7/2025,5/1/2025,5/1/2025,3/7/2025,INDUSTRY
39665585,Active Monitoring With or Without Endocrine Therapy for Low-Risk Ductal Carcinoma In Situ: The COMET Randomized Clinical Trial,JAMA,NCT02926911,,,No,,2/22/2017,2/22/2017,2/22/2017,ACTUAL,6/27/2024,6/27/2024,6/27/2024,ACTUAL,10/5/2016,10/5/2016,10/5/2016,9/19/2016,,"Alliance Foundation Trials, LLC.",OTHER,OTHER,Duke University; Dana-Farber Cancer Institute; New York University; Washington University School of Medicine; Patient-Centered Outcomes Research Institute; M.D. Anderson Cancer Center; Rising Tide Foundation; Breast Cancer Research Foundation,"Alliance Foundation Trials, LLC.; Duke University; Dana-Farber Cancer Institute; New York University; Washington University School of Medicine; Patient-Centered Outcomes Research Institute; M.D. Anderson Cancer Center; Rising Tide Foundation; Breast Cancer Research Foundation",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,TRUE,6/24/2025,6/5/2025,TRUE,Yes,5/2/2024,Yes,5/2/2024,,3/18/2025,3/18/2025,3/18/2025,OTHER
39847361,Transanal vs Laparoscopic Total Mesorectal Excision and 3-Year Disease-Free Survival in Rectal Cancer: The TaLaR Randomized Clinical Trial,JAMA,NCT02966483,,,No,,2016-04,4/1/2016,4/15/2016,ACTUAL,2026-07,7/1/2026,7/16/2026,ESTIMATED,11/16/2016,11/16/2016,11/16/2016,11/8/2016,,Sun Yat-sen University,OTHER,OTHER,"Peking Union Medical College Hospital; The First Hospital of Jilin University; RenJi Hospital; Shengjing Hospital; The Second People's Hospital of Yibin; Daping Hospital and the Research Institute of Surgery of the Third Military Medical University; Nanchong Central Hospital; Zunyi Medical College; The First Affiliated Hospital of University of South China; Xinqiao Hospital; Nanfang Hospital, Southern Medical University; First Affiliated Hospital Xi'an Jiaotong University; Ruijin Hospital; Affiliated Hospital of Guangdong Medical University; The Third Xiangya Hospital of Central South University","Sun Yat-sen University; Peking Union Medical College Hospital; The First Hospital of Jilin University; RenJi Hospital; Shengjing Hospital; The Second People's Hospital of Yibin; Daping Hospital and the Research Institute of Surgery of the Third Military Medical University; Nanchong Central Hospital; Zunyi Medical College; The First Affiliated Hospital of University of South China; Xinqiao Hospital; Nanfang Hospital, Southern Medical University; First Affiliated Hospital Xi'an Jiaotong University; Ruijin Hospital; Affiliated Hospital of Guangdong Medical University; The Third Xiangya Hospital of Central South University",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,,3/4/2025,3/4/2025,3/4/2025,OTHER
40354045,Antihypertensive Medication Timing and Cardiovascular Events and Death: The BedMed Randomized Clinical Trial,JAMA,NCT02990663,,,No,,3/31/2017,3/31/2017,3/31/2017,ACTUAL,12/22/2023,12/22/2023,12/22/2023,ACTUAL,12/8/2016,12/8/2016,12/8/2016,12/5/2016,,University of Alberta,OTHER,OTHER,Alberta Innovates Health Solutions; Alberta Health services; Canadian Institutes of Health Research (CIHR),University of Alberta; Alberta Innovates Health Solutions; Alberta Health services; Canadian Institutes of Health Research (CIHR),No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,,6/17/2025,6/17/2025,6/17/2025,OTHER
39565030,Antibiotic Treatment for 7 versus 14 Days in Patients with Bloodstream Infections,N Engl J Med,NCT03005145,,,No,,2/24/2017,2/24/2017,2/24/2017,ACTUAL,5/5/2023,5/5/2023,5/5/2023,ACTUAL,12/22/2016,12/22/2016,12/22/2016,12/20/2016,,Sunnybrook Health Sciences Centre,OTHER,OTHER,,Sunnybrook Health Sciences Centre,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,11/20/2024,3/13/2025,3/13/2025,11/20/2024,OTHER
40159390,Intravenous Ferric Carboxymaltose in Heart Failure With Iron Deficiency: The FAIR-HF2 DZHK05 Randomized Clinical Trial,JAMA,NCT03036462,,,No,,3/7/2017,3/7/2017,3/7/2017,ACTUAL,5/2/2024,5/2/2024,5/2/2024,ACTUAL,1/26/2017,1/26/2017,1/26/2017,9/15/2016,"FAIR-HF2-DZHK5 (OTHER_GRANT, Deutsches Zentrum für Herzkreislaufforschung)",Universitätsklinikum Hamburg-Eppendorf,OTHER,OTHER,"Deutsches Zentrum für Herz-Kreislauf-Forschung (DZHK); Charite University, Berlin, Germany","Universitätsklinikum Hamburg-Eppendorf; Deutsches Zentrum für Herz-Kreislauf-Forschung (DZHK); Charite University, Berlin, Germany",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,,6/10/2025,6/10/2025,6/10/2025,OTHER
40354799,"Efficacy and safety of low-dose IL-2 as an add-on therapy to riluzole (MIROCALS): a phase 2b, double-blind, randomised, placebo-controlled trial",Lancet,NCT03039673,,,No,,6/19/2017,6/19/2017,6/19/2017,ACTUAL,7/22/2021,7/22/2021,7/22/2021,ACTUAL,1/31/2017,1/31/2017,1/31/2017,1/31/2017,"No 633413 (OTHER_GRANT, EU Horizon 2020 research and innovation programme); PHRC-N, 14-0077, 2014 (OTHER_GRANT, the French Ministry of Health); Leigh/Jul15/971-797 (OTHER_GRANT, MND Association grant)",Centre Hospitalier Universitaire de Nīmes,OTHER,OTHER,,Centre Hospitalier Universitaire de Nīmes,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,5/9/2025,5/24/2025,5/24/2025,5/9/2025,OTHER
39466903,Transcatheter Aortic-Valve Replacement for Asymptomatic Severe Aortic Stenosis,N Engl J Med,NCT03042104,https://clinicaltrials.gov/study/NCT03042104,Edwards Lifesciences,Yes,FALSE,7/12/2017,7/12/2017,7/12/2017,ACTUAL,3/31/2024,3/31/2024,3/31/2024,ACTUAL,2/1/2017,2/1/2017,2/1/2017,1/30/2017,,Edwards Lifesciences,INDUSTRY,INDUSTRY,,Edwards Lifesciences,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,10/28/2024,1/16/2025,1/16/2025,10/28/2024,INDUSTRY
39555823,Colchicine in Acute Myocardial Infarction,N Engl J Med,NCT03048825,https://clinicaltrials.gov/study/NCT03048825,Population Health Research Institute,Yes,FALSE,2/1/2018,2/1/2018,2/1/2018,ACTUAL,8/9/2024,8/9/2024,8/9/2024,ACTUAL,2/7/2017,2/7/2017,2/7/2017,2/3/2017,"OASIS-9 (OTHER, Population Health Research Institute)",Population Health Research Institute,OTHER,OTHER,Boston Scientific Corporation; Canadian Institutes of Health Research (CIHR),Population Health Research Institute; Boston Scientific Corporation; Canadian Institutes of Health Research (CIHR),Yes,Yes,RANDOMIZED,FACTORIAL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,11/17/2024,2/13/2025,2/13/2025,11/17/2024,NIH
39466640,Early Intervention in Patients With Asymptomatic Severe Aortic Stenosis and Myocardial Fibrosis: The EVOLVED Randomized Clinical Trial,JAMA,NCT03094143,,,No,,7/21/2017,7/21/2017,7/21/2017,ACTUAL,7/1/2024,7/1/2024,7/1/2024,ACTUAL,3/22/2017,3/22/2017,3/22/2017,3/10/2017,,University of Edinburgh,OTHER,OTHER,Sir Jules Thorn Charitable Trust,University of Edinburgh; Sir Jules Thorn Charitable Trust,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,,1/21/2025,1/21/2025,1/21/2025,OTHER
40174596,"Orbital atherectomy versus balloon angioplasty before drug-eluting stent implantation in severely calcified lesions eligible for both treatment strategies (ECLIPSE): a multicentre, open-label, randomised trial",Lancet,NCT03108456,https://clinicaltrials.gov/study/NCT03108456,Abbott Medical Devices,Yes,FALSE,3/27/2017,3/27/2017,3/27/2017,ACTUAL,6/12/2024,6/12/2024,6/12/2024,ESTIMATED,4/5/2017,4/5/2017,4/5/2017,2/17/2017,,Abbott Medical Devices,INDUSTRY,INDUSTRY,"Cardiovascular Research Foundation, New York","Abbott Medical Devices; Cardiovascular Research Foundation, New York",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,3/30/2025,4/12/2025,4/12/2025,3/30/2025,INDUSTRY
40133524,Escitalopram for agitation in Alzheimer's dementia: a randomized controlled phase 3 trial,Nat Med,NCT03108846,https://clinicaltrials.gov/study/NCT03108846,JHSPH Center for Clinical Trials,Yes,FALSE,1/3/2018,1/3/2018,1/3/2018,ACTUAL,4/5/2024,4/5/2024,4/5/2024,ACTUAL,4/6/2017,4/6/2017,4/6/2017,4/6/2017,R01AG052510 (NIH),JHSPH Center for Clinical Trials,OTHER,OTHER,National Institute on Aging (NIA),JHSPH Center for Clinical Trials; National Institute on Aging (NIA),Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,3/25/2025,5/1/2025,5/1/2025,3/25/2025,NIH
40195451,Broad versus limited gene panels to guide treatment in patients with advanced solid tumors: a randomized controlled trial,Nat Med,NCT03163732,,,No,,6/29/2017,6/29/2017,6/29/2017,ACTUAL,11/23/2021,11/23/2021,11/23/2021,ACTUAL,5/22/2017,5/22/2017,5/22/2017,5/17/2017,,Centre Leon Berard,OTHER,OTHER,Roche Pharma AG,Centre Leon Berard; Roche Pharma AG,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,4/7/2025,5/1/2025,5/1/2025,4/7/2025,OTHER
39798982,"Efficacy, safety, and target engagement of dazukibart, an IFNβ specific monoclonal antibody, in adults with dermatomyositis: a multicentre, double-blind, randomised, placebo-controlled, phase 2 trial",Lancet,NCT03181893,https://clinicaltrials.gov/study/NCT03181893,Pfizer,Yes,FALSE,1/23/2018,1/23/2018,1/23/2018,ACTUAL,5/27/2022,5/27/2022,5/27/2022,ACTUAL,6/7/2017,6/7/2017,6/7/2017,6/5/2017,2020-004228-41 (EUDRACT_NUMBER),Pfizer,INDUSTRY,INDUSTRY,,Pfizer,No,Yes,RANDOMIZED,CROSSOVER,INTERVENTIONAL,TRUE,9/14/2023,5/26/2023,TRUE,Yes,9/20/2021,Yes,6/9/2022,,1/11/2025,1/11/2025,1/11/2025,INDUSTRY
39908421,Collaborative and Stepped Care for Mental Disorders: Results of a Cluster-Randomized Controlled Trial in Outpatient Care (The COMET Study),Dtsch Arztebl Int,NCT03226743,,,No,,7/12/2018,7/12/2018,7/12/2018,ACTUAL,4/12/2021,4/12/2021,4/12/2021,ACTUAL,7/19/2017,7/19/2017,7/19/2017,7/10/2017,,Universitätsklinikum Hamburg-Eppendorf,OTHER,OTHER,Center for Health Care Research Hamburg; Hamburg Center for Health Economics,Universitätsklinikum Hamburg-Eppendorf; Center for Health Care Research Hamburg; Hamburg Center for Health Economics,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,,3/7/2025,3/7/2025,3/7/2025,OTHER
39282902,Adjuvant Pembrolizumab versus Observation in Muscle-Invasive Urothelial Carcinoma,N Engl J Med,NCT03244384,https://clinicaltrials.gov/study/NCT03244384,National Cancer Institute (NCI),Yes,FALSE,11/3/2017,11/3/2017,11/3/2017,ACTUAL,6/1/2025,6/1/2025,6/1/2025,ESTIMATED,8/8/2017,8/8/2017,8/8/2017,8/7/2017,"NCI-2017-01425 (REGISTRY, CTRP (Clinical Trial Reporting Program)); A031501; A031501 (OTHER, Alliance for Clinical Trials in Oncology); A031501 (OTHER, CTEP); U10CA180821 (NIH)",National Cancer Institute (NCI),NIH,NIH,,National Cancer Institute (NCI),Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,FALSE,1/1/3011,1/1/3011,FALSE,No,,No,,9/15/2024,1/2/2025,1/2/2025,9/15/2024,NIH
39920394,Symptom monitoring with electronic patient-reported outcomes during cancer treatment: final results of the PRO-TECT cluster-randomized trial,Nat Med,NCT03249090,,,No,,10/30/2017,10/30/2017,10/30/2017,ACTUAL,3/30/2022,3/30/2022,3/30/2022,ACTUAL,8/10/2017,8/10/2017,8/10/2017,8/1/2017,,"Alliance Foundation Trials, LLC.",OTHER,OTHER,"Patient-Centered Outcomes Research Institute; University of North Carolina; Mayo Clinic; American Society of Clinical Oncology; American Cancer Society, Inc.; Dana-Farber Cancer Institute","Alliance Foundation Trials, LLC.; Patient-Centered Outcomes Research Institute; University of North Carolina; Mayo Clinic; American Society of Clinical Oncology; American Cancer Society, Inc.; Dana-Farber Cancer Institute",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,TRUE,1/14/2025,1/10/2025,TRUE,Yes,12/5/2020,Yes,9/30/2022,2/7/2025,4/1/2025,4/1/2025,2/7/2025,OTHER
