PMID,Title,journal_book,nct_id,publication_url,sponsor_name,is_act,is_pact,secondary_ids,lead_sponsor_name,lead_sponsor_class,funder_type,collaborator_names,all_sponsors,is_nih_funded,is_randomized,allocation,intervention_model,study_type,funder_sponsor
40097663,Molecular residual disease analysis of adjuvant osimertinib in resected EGFR-mutated stage IB-IIIA non-small-cell lung cancer,Nat Med,NCT02511106,https://clinicaltrials.gov/study/NCT02511106,AstraZeneca,Yes,TRUE,"2023-506524-82-00 (REGISTRY, CTIS); 2015-000662-65 (EUDRACT_NUMBER)",AstraZeneca,INDUSTRY,INDUSTRY,,AstraZeneca,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
40312587,Infant mental health services for birth and foster families of maltreated pre-school children in foster care (BeST(?)): a cluster-randomized phase 3 clinical effectiveness trial,Nat Med,NCT02653716,,,No,,,Helen Minnis,OTHER,OTHER,"University of Glasgow; National Institute for Health Research, United Kingdom; King's College London; Glasgow City Council Social Work; National Society for the Prevention of Cruelty to Children; NHS Greater Glasgow and Clyde; University of Aberdeen","Helen Minnis; University of Glasgow; National Institute for Health Research, United Kingdom; King's College London; Glasgow City Council Social Work; National Society for the Prevention of Cruelty to Children; NHS Greater Glasgow and Clyde; University of Aberdeen",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39826968,"Appendicectomy versus antibiotics for acute uncomplicated appendicitis in children: an open-label, international, multicentre, randomised, non-inferiority trial",Lancet,NCT02687464,,,No,,,Children's Mercy Hospital Kansas City,OTHER,OTHER,"Provincial Health Services Authority; Alberta Children's Hospital; Children's Hospital of Western Ontario; St. Justine's Hospital; Children's Hospital of Winnipeg; Le Bonheur Children's Hospital; Karolinska University Hospital; Hospital for Children and Adolescents, Finland; University of Southampton; UCL Institute of Child Health; KK Women's and Children's Hospital; Uppsala University Children's Hospital","Children's Mercy Hospital Kansas City; Provincial Health Services Authority; Alberta Children's Hospital; Children's Hospital of Western Ontario; St. Justine's Hospital; Children's Hospital of Winnipeg; Le Bonheur Children's Hospital; Karolinska University Hospital; Hospital for Children and Adolescents, Finland; University of Southampton; UCL Institute of Child Health; KK Women's and Children's Hospital; Uppsala University Children's Hospital",Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,NIH
39879593,"Oral Regimens for Rifampin-Resistant, Fluoroquinolone-Susceptible Tuberculosis",N Engl J Med,NCT02754765,,,No,,,"Médecins Sans Frontières, France",OTHER,OTHER,"Partners in Health; Harvard Medical School (HMS and HSDM); Epicentre; Institute of Tropical Medicine, Belgium; Socios En Salud, Peru; Interactive Research and Development","Médecins Sans Frontières, France; Partners in Health; Harvard Medical School (HMS and HSDM); Epicentre; Institute of Tropical Medicine, Belgium; Socios En Salud, Peru; Interactive Research and Development",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39555820,Catheter Ablation or Antiarrhythmic Drugs for Ventricular Tachycardia,N Engl J Med,NCT02830360,,,No,,,John Sapp,OTHER,OTHER,"Heart and Stroke Foundation of Canada; Abbott Medical Devices; Biosense Webster, Inc.; Ottawa Heart Institute Research Corporation; Canadian Institutes of Health Research (CIHR); Cardiac Arrhythmia Network of Canada; Abbott; Nova Scotia Health Authority","John Sapp; Heart and Stroke Foundation of Canada; Abbott Medical Devices; Biosense Webster, Inc.; Ottawa Heart Institute Research Corporation; Canadian Institutes of Health Research (CIHR); Cardiac Arrhythmia Network of Canada; Abbott; Nova Scotia Health Authority",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
40055521,Nivolumab plus chemotherapy or ipilimumab in gastroesophageal cancer: exploratory biomarker analyses of a randomized phase 3 trial,Nat Med,NCT02872116,https://clinicaltrials.gov/study/NCT02872116,Bristol-Myers Squibb,Yes,TRUE,2016-001018-76 (EUDRACT_NUMBER),Bristol-Myers Squibb,INDUSTRY,INDUSTRY,Ono Pharmaceutical Co. Ltd,Bristol-Myers Squibb; Ono Pharmaceutical Co. Ltd,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
39665585,Active Monitoring With or Without Endocrine Therapy for Low-Risk Ductal Carcinoma In Situ: The COMET Randomized Clinical Trial,JAMA,NCT02926911,,,No,,,"Alliance Foundation Trials, LLC.",OTHER,OTHER,Duke University; Dana-Farber Cancer Institute; New York University; Washington University School of Medicine; Patient-Centered Outcomes Research Institute; M.D. Anderson Cancer Center; Rising Tide Foundation; Breast Cancer Research Foundation,"Alliance Foundation Trials, LLC.; Duke University; Dana-Farber Cancer Institute; New York University; Washington University School of Medicine; Patient-Centered Outcomes Research Institute; M.D. Anderson Cancer Center; Rising Tide Foundation; Breast Cancer Research Foundation",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39847361,Transanal vs Laparoscopic Total Mesorectal Excision and 3-Year Disease-Free Survival in Rectal Cancer: The TaLaR Randomized Clinical Trial,JAMA,NCT02966483,,,No,,,Sun Yat-sen University,OTHER,OTHER,"Peking Union Medical College Hospital; The First Hospital of Jilin University; RenJi Hospital; Shengjing Hospital; The Second People's Hospital of Yibin; Daping Hospital and the Research Institute of Surgery of the Third Military Medical University; Nanchong Central Hospital; Zunyi Medical College; The First Affiliated Hospital of University of South China; Xinqiao Hospital; Nanfang Hospital, Southern Medical University; First Affiliated Hospital Xi'an Jiaotong University; Ruijin Hospital; Affiliated Hospital of Guangdong Medical University; The Third Xiangya Hospital of Central South University","Sun Yat-sen University; Peking Union Medical College Hospital; The First Hospital of Jilin University; RenJi Hospital; Shengjing Hospital; The Second People's Hospital of Yibin; Daping Hospital and the Research Institute of Surgery of the Third Military Medical University; Nanchong Central Hospital; Zunyi Medical College; The First Affiliated Hospital of University of South China; Xinqiao Hospital; Nanfang Hospital, Southern Medical University; First Affiliated Hospital Xi'an Jiaotong University; Ruijin Hospital; Affiliated Hospital of Guangdong Medical University; The Third Xiangya Hospital of Central South University",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
40354045,Antihypertensive Medication Timing and Cardiovascular Events and Death: The BedMed Randomized Clinical Trial,JAMA,NCT02990663,,,No,,,University of Alberta,OTHER,OTHER,Alberta Innovates Health Solutions; Alberta Health services; Canadian Institutes of Health Research (CIHR),University of Alberta; Alberta Innovates Health Solutions; Alberta Health services; Canadian Institutes of Health Research (CIHR),No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39565030,Antibiotic Treatment for 7 versus 14 Days in Patients with Bloodstream Infections,N Engl J Med,NCT03005145,,,No,,,Sunnybrook Health Sciences Centre,OTHER,OTHER,,Sunnybrook Health Sciences Centre,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
40159390,Intravenous Ferric Carboxymaltose in Heart Failure With Iron Deficiency: The FAIR-HF2 DZHK05 Randomized Clinical Trial,JAMA,NCT03036462,,,No,,"FAIR-HF2-DZHK5 (OTHER_GRANT, Deutsches Zentrum für Herzkreislaufforschung)",Universitätsklinikum Hamburg-Eppendorf,OTHER,OTHER,"Deutsches Zentrum für Herz-Kreislauf-Forschung (DZHK); Charite University, Berlin, Germany","Universitätsklinikum Hamburg-Eppendorf; Deutsches Zentrum für Herz-Kreislauf-Forschung (DZHK); Charite University, Berlin, Germany",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
40354799,"Efficacy and safety of low-dose IL-2 as an add-on therapy to riluzole (MIROCALS): a phase 2b, double-blind, randomised, placebo-controlled trial",Lancet,NCT03039673,,,No,,"No 633413 (OTHER_GRANT, EU Horizon 2020 research and innovation programme); PHRC-N, 14-0077, 2014 (OTHER_GRANT, the French Ministry of Health); Leigh/Jul15/971-797 (OTHER_GRANT, MND Association grant)",Centre Hospitalier Universitaire de Nīmes,OTHER,OTHER,,Centre Hospitalier Universitaire de Nīmes,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39466903,Transcatheter Aortic-Valve Replacement for Asymptomatic Severe Aortic Stenosis,N Engl J Med,NCT03042104,https://clinicaltrials.gov/study/NCT03042104,Edwards Lifesciences,Yes,FALSE,,Edwards Lifesciences,INDUSTRY,INDUSTRY,,Edwards Lifesciences,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
39555823,Colchicine in Acute Myocardial Infarction,N Engl J Med,NCT03048825,https://clinicaltrials.gov/study/NCT03048825,Population Health Research Institute,Yes,FALSE,"OASIS-9 (OTHER, Population Health Research Institute)",Population Health Research Institute,OTHER,OTHER,Boston Scientific Corporation; Canadian Institutes of Health Research (CIHR),Population Health Research Institute; Boston Scientific Corporation; Canadian Institutes of Health Research (CIHR),Yes,Yes,RANDOMIZED,FACTORIAL,INTERVENTIONAL,NIH
39466640,Early Intervention in Patients With Asymptomatic Severe Aortic Stenosis and Myocardial Fibrosis: The EVOLVED Randomized Clinical Trial,JAMA,NCT03094143,,,No,,,University of Edinburgh,OTHER,OTHER,Sir Jules Thorn Charitable Trust,University of Edinburgh; Sir Jules Thorn Charitable Trust,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
40174596,"Orbital atherectomy versus balloon angioplasty before drug-eluting stent implantation in severely calcified lesions eligible for both treatment strategies (ECLIPSE): a multicentre, open-label, randomised trial",Lancet,NCT03108456,https://clinicaltrials.gov/study/NCT03108456,Abbott Medical Devices,Yes,FALSE,,Abbott Medical Devices,INDUSTRY,INDUSTRY,"Cardiovascular Research Foundation, New York","Abbott Medical Devices; Cardiovascular Research Foundation, New York",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
40133524,Escitalopram for agitation in Alzheimer's dementia: a randomized controlled phase 3 trial,Nat Med,NCT03108846,https://clinicaltrials.gov/study/NCT03108846,JHSPH Center for Clinical Trials,Yes,FALSE,R01AG052510 (NIH),JHSPH Center for Clinical Trials,OTHER,OTHER,National Institute on Aging (NIA),JHSPH Center for Clinical Trials; National Institute on Aging (NIA),Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,NIH
40195451,Broad versus limited gene panels to guide treatment in patients with advanced solid tumors: a randomized controlled trial,Nat Med,NCT03163732,,,No,,,Centre Leon Berard,OTHER,OTHER,Roche Pharma AG,Centre Leon Berard; Roche Pharma AG,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39798982,"Efficacy, safety, and target engagement of dazukibart, an IFNβ specific monoclonal antibody, in adults with dermatomyositis: a multicentre, double-blind, randomised, placebo-controlled, phase 2 trial",Lancet,NCT03181893,https://clinicaltrials.gov/study/NCT03181893,Pfizer,Yes,FALSE,2020-004228-41 (EUDRACT_NUMBER),Pfizer,INDUSTRY,INDUSTRY,,Pfizer,No,Yes,RANDOMIZED,CROSSOVER,INTERVENTIONAL,INDUSTRY
39908421,Collaborative and Stepped Care for Mental Disorders: Results of a Cluster-Randomized Controlled Trial in Outpatient Care (The COMET Study),Dtsch Arztebl Int,NCT03226743,,,No,,,Universitätsklinikum Hamburg-Eppendorf,OTHER,OTHER,Center for Health Care Research Hamburg; Hamburg Center for Health Economics,Universitätsklinikum Hamburg-Eppendorf; Center for Health Care Research Hamburg; Hamburg Center for Health Economics,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39282902,Adjuvant Pembrolizumab versus Observation in Muscle-Invasive Urothelial Carcinoma,N Engl J Med,NCT03244384,https://clinicaltrials.gov/study/NCT03244384,National Cancer Institute (NCI),Yes,FALSE,"NCI-2017-01425 (REGISTRY, CTRP (Clinical Trial Reporting Program)); A031501; A031501 (OTHER, Alliance for Clinical Trials in Oncology); A031501 (OTHER, CTEP); U10CA180821 (NIH)",National Cancer Institute (NCI),NIH,NIH,,National Cancer Institute (NCI),Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,NIH
39920394,Symptom monitoring with electronic patient-reported outcomes during cancer treatment: final results of the PRO-TECT cluster-randomized trial,Nat Med,NCT03249090,,,No,,,"Alliance Foundation Trials, LLC.",OTHER,OTHER,"Patient-Centered Outcomes Research Institute; University of North Carolina; Mayo Clinic; American Society of Clinical Oncology; American Cancer Society, Inc.; Dana-Farber Cancer Institute","Alliance Foundation Trials, LLC.; Patient-Centered Outcomes Research Institute; University of North Carolina; Mayo Clinic; American Society of Clinical Oncology; American Cancer Society, Inc.; Dana-Farber Cancer Institute",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
40023651,"Extended treatment of venous thromboembolism with reduced-dose versus full-dose direct oral anticoagulants in patients at high risk of recurrence: a non-inferiority, multicentre, randomised, open-label, blinded endpoint trial",Lancet,NCT03285438,,,No,,,"University Hospital, Brest",OTHER,OTHER,University Hospital of Saint-Etienne,"University Hospital, Brest; University Hospital of Saint-Etienne",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39652675,Daratumumab or Active Monitoring for High-Risk Smoldering Multiple Myeloma,N Engl J Med,NCT03301220,https://clinicaltrials.gov/study/NCT03301220,"Janssen Research & Development, LLC",Yes,FALSE,"54767414SMM3001 (OTHER, Janssen Research & Development, LLC); 2016-001205-16 (EUDRACT_NUMBER); 2023-507143-11-00 (REGISTRY, EUCT number)","Janssen Research & Development, LLC",INDUSTRY,INDUSTRY,,"Janssen Research & Development, LLC",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
39655786,Liberal or Restrictive Transfusion Strategy in Aneurysmal Subarachnoid Hemorrhage,N Engl J Med,NCT03309579,,,No,,,Ottawa Hospital Research Institute,OTHER,OTHER,Canadian Institutes of Health Research (CIHR),Ottawa Hospital Research Institute; Canadian Institutes of Health Research (CIHR),No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
40294395,Extended Caffeine for Apnea in Moderately Preterm Infants: The MoCHA Randomized Clinical Trial,JAMA,NCT03340727,https://clinicaltrials.gov/study/NCT03340727,NICHD Neonatal Research Network,Yes,FALSE,UG1HD034216 (NIH); UG1HD027904 (NIH); UG1HD021364 (NIH); UG1HD027853 (NIH); UG1HD040689 (NIH); UG1HD040492 (NIH); UG1HD027851 (NIH); UG1HD087229 (NIH); UG1HD053109 (NIH); UG1HD068278 (NIH); UG1HD068244 (NIH); UG1HD068263 (NIH); UG1HD027880 (NIH); UG1HD053089 (NIH); UG1HD087226 (NIH); U10HD036790 (NIH),NICHD Neonatal Research Network,NETWORK,NETWORK,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NICHD Neonatal Research Network; Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,NIH
39282913,Phase 3 Trial of Cabozantinib to Treat Advanced Neuroendocrine Tumors,N Engl J Med,NCT03375320,https://clinicaltrials.gov/study/NCT03375320,National Cancer Institute (NCI),Yes,FALSE,"NCI-2017-02297 (REGISTRY, CTRP (Clinical Trial Reporting Program)); A021602 (OTHER, Alliance for Clinical Trials in Oncology); A021602 (OTHER, CTEP); U10CA180821 (NIH)",National Cancer Institute (NCI),NIH,NIH,,National Cancer Institute (NCI),Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,NIH
40163873,The Effect of 4:3 Intermittent Fasting on Weight Loss at 12 Months : A Randomized Clinical Trial,Ann Intern Med,NCT03411356,,,No,,R01DK111622-01A1 (NIH),"University of Colorado, Denver",OTHER,OTHER,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),"University of Colorado, Denver; National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)",Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,NIH
39813042,Palliative Care Initiated in the Emergency Department: A Cluster Randomized Clinical Trial,JAMA,NCT03424109,,,No,,5UH3AT009844 (NIH),NYU Langone Health,OTHER,OTHER,National Center for Complementary and Integrative Health (NCCIH); National Institutes of Health (NIH); Memorial Sloan Kettering Cancer Center,NYU Langone Health; National Center for Complementary and Integrative Health (NCCIH); National Institutes of Health (NIH); Memorial Sloan Kettering Cancer Center,Yes,,,,OBSERVATIONAL,NIH
40079940,Adjuvant PD-1 Blockade With Camrelizumab for Nasopharyngeal Carcinoma: The DIPPER Randomized Clinical Trial,JAMA,NCT03427827,,,No,,,Sun Yat-sen University,OTHER,OTHER,,Sun Yat-sen University,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
40079944,Atezolizumab in High-Risk Locally Advanced Squamous Cell Carcinoma of the Head and Neck: A Randomized Clinical Trial,JAMA,NCT03452137,https://clinicaltrials.gov/study/NCT03452137,Hoffmann-La Roche,Yes,FALSE,2017-003302-40 (EUDRACT_NUMBER),Hoffmann-La Roche,INDUSTRY,INDUSTRY,,Hoffmann-La Roche,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
39540799,Tenofovir and Hepatitis B Virus Transmission During Pregnancy: A Randomized Clinical Trial,JAMA,NCT03476083,https://clinicaltrials.gov/study/NCT03476083,New Discovery LLC,Yes,FALSE,"(2018) 462 No: HGRSL20180412 (OTHER, Ministry of Science and Technology of China, HGRM Office)",New Discovery LLC,INDUSTRY,INDUSTRY,,New Discovery LLC,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
40258956,"Blood pressure reduction and all-cause dementia in people with uncontrolled hypertension: an open-label, blinded-endpoint, cluster-randomized trial",Nat Med,NCT03527719,,,No,,,First Hospital of China Medical University,OTHER,OTHER,Tulane University; First Affiliated Hospital Xi'an Jiaotong University; Tongji Hospital; Disease Control and Prevention Centre of Liaoning Province; Chaoyang Central Hospital; Hanzhong People's Hospital; Disease Control and Prevention Centre of Chaoyang City; Shengjing Hospital,First Hospital of China Medical University; Tulane University; First Affiliated Hospital Xi'an Jiaotong University; Tongji Hospital; Disease Control and Prevention Centre of Liaoning Province; Chaoyang Central Hospital; Hanzhong People's Hospital; Disease Control and Prevention Centre of Chaoyang City; Shengjing Hospital,Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,NIH
39453837,Long-Term Effects of Empagliflozin in Patients with Chronic Kidney Disease,N Engl J Med,NCT03594110,https://clinicaltrials.gov/study/NCT03594110,Boehringer Ingelheim,Yes,FALSE,2017-002971-24 (EUDRACT_NUMBER),Boehringer Ingelheim,INDUSTRY,INDUSTRY,University of Oxford; Eli Lilly and Company,Boehringer Ingelheim; University of Oxford; Eli Lilly and Company,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
39657981,High-Flow Nasal Oxygen vs Noninvasive Ventilation in Patients With Acute Respiratory Failure: The RENOVATE Randomized Clinical Trial,JAMA,NCT03643939,,,No,,,Hospital do Coracao,OTHER,OTHER,"Ministry of Health, Brazil; Berry Consultants","Hospital do Coracao; Ministry of Health, Brazil; Berry Consultants",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39910273,"Daratumumab plus bortezomib, lenalidomide and dexamethasone for transplant-ineligible or transplant-deferred newly diagnosed multiple myeloma: the randomized phase 3 CEPHEUS trial",Nat Med,NCT03652064,https://clinicaltrials.gov/study/NCT03652064,"Janssen Research & Development, LLC",Yes,FALSE,"54767414MMY3019 (OTHER, Janssen Research & Development, LLC); 2018-001545-13 (EUDRACT_NUMBER); 2023-507312-13-00 (REGISTRY, EUCT number)","Janssen Research & Development, LLC",INDUSTRY,INDUSTRY,,"Janssen Research & Development, LLC",No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
40162636,Extended Reduced-Dose Apixaban for Cancer-Associated Venous Thromboembolism,N Engl J Med,NCT03692065,,,No,,,Assistance Publique - Hôpitaux de Paris,OTHER,OTHER,Bristol-Myers Squibb,Assistance Publique - Hôpitaux de Paris; Bristol-Myers Squibb,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,OTHER
39838117,"Pembrolizumab and chemotherapy in high-risk, early-stage, ER(+)/HER2(-) breast cancer: a randomized phase 3 trial",Nat Med,NCT03725059,https://clinicaltrials.gov/study/NCT03725059,Merck Sharp & Dohme LLC,Yes,FALSE,"MK-3475-756 (OTHER, MSD); 194604 (REGISTRY, Japic-CTI); KEYNOTE-756 (OTHER, MSD); 2023-506921-12-00 (REGISTRY, EU CT); jRCT2080224535 (OTHER, jRCT); U1111-1294-6352 (REGISTRY, UTN); 2017-004869-27 (EUDRACT_NUMBER)",Merck Sharp & Dohme LLC,INDUSTRY,INDUSTRY,,Merck Sharp & Dohme LLC,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
40174237,A Phase 3 Trial of Upadacitinib for Giant-Cell Arteritis,N Engl J Med,NCT03725202,https://clinicaltrials.gov/study/NCT03725202,AbbVie,Yes,FALSE,"2023-505476-29-00 (OTHER, EU CT); 2017-003978-13 (EUDRACT_NUMBER)",AbbVie,INDUSTRY,INDUSTRY,,AbbVie,No,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,INDUSTRY
40412428,"Safety and efficacy of low-intensity versus standard monitoring following intravenous thrombolytic treatment in patients with acute ischaemic stroke (OPTIMISTmain): an international, pragmatic, stepped-wedge, cluster-randomised, controlled non-inferiority trial",Lancet,NCT03734640,,,No,,,Craig Anderson,OTHER,OTHER,"Genentech, Inc.; Johns Hopkins University; The George Institute for Global Health, Australia","Craig Anderson; Genentech, Inc.; Johns Hopkins University; The George Institute for Global Health, Australia",No,Yes,RANDOMIZED,SEQUENTIAL,INTERVENTIONAL,OTHER
40412426,"ACURATE neo2 valve versus commercially available transcatheter heart valves in patients with severe aortic stenosis (ACURATE IDE): a multicentre, randomised, controlled, non-inferiority trial",Lancet,NCT03735667,https://clinicaltrials.gov/study/NCT03735667,Boston Scientific Corporation,Yes,FALSE,,Boston Scientific Corporation,INDUSTRY,INDUSTRY,,Boston Scientific Corporation,Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,NIH
39878993,Palliative Care Program for Community-Dwelling Individuals With Dementia and Caregivers: The IN-PEACE Randomized Clinical Trial,JAMA,NCT03773757,,,No,,1R01AG057733-01A1 (NIH),Indiana University,OTHER,OTHER,"Regenstrief Institute, Inc.; National Institute on Aging (NIA)","Indiana University; Regenstrief Institute, Inc.; National Institute on Aging (NIA)",Yes,Yes,RANDOMIZED,PARALLEL,INTERVENTIONAL,NIH
